date,clicked,ignored,opened,reported,sent,open_rate,click_rate,report_rate,false_positive_rate,phishrisk_index,campaign_size
2025-10-18,75,172,360,37,543,0.6629834254143646,0.20833333333333334,0.49333333333333335,0.6056338028169014,0.11458333333333334,543
2025-10-19,86,152,371,36,540,0.687037037037037,0.23180592991913745,0.4186046511627907,0.5547445255474452,0.1274932614555256,540
2025-10-20,75,141,414,35,559,0.740608228980322,0.18115942028985507,0.4666666666666667,0.5617529880478087,0.0996376811594203,559
2025-10-21,71,141,401,37,563,0.7122557726465364,0.1770573566084788,0.5211267605633803,0.5662650602409639,0.09738154613466335,563
2025-10-22,69,157,413,28,567,0.7283950617283951,0.16707021791767554,0.4057971014492754,0.6181102362204725,0.09188861985472155,567
2025-10-23,80,171,402,38,574,0.7003484320557491,0.19900497512437812,0.475,0.5916955017301038,0.10945273631840798,574
2025-10-24,72,150,384,30,540,0.7111111111111111,0.1875,0.4166666666666667,0.5952380952380952,0.10312500000000001,540
2025-10-25,78,171,415,37,595,0.6974789915966386,0.18795180722891566,0.47435897435897434,0.5979020979020979,0.10337349397590362,595
2025-10-26,98,156,412,44,579,0.7115716753022453,0.23786407766990292,0.4489795918367347,0.5234899328859061,0.13082524271844662,579
2025-10-27,75,168,399,34,567,0.7037037037037037,0.18796992481203006,0.4533333333333333,0.6064981949458483,0.10338345864661655,567
2025-10-28,79,140,377,39,530,0.7113207547169811,0.20954907161803712,0.4936708860759494,0.5426356589147286,0.11525198938992043,530
2025-10-29,79,151,417,42,587,0.7103918228279387,0.18944844124700239,0.5316455696202531,0.5551470588235294,0.10419664268585133,587
2025-10-30,103,158,410,49,559,0.7334525939177102,0.25121951219512195,0.47572815533980584,0.5096774193548387,0.13817073170731708,559
2025-10-31,85,158,392,28,568,0.6901408450704225,0.21683673469387754,0.32941176470588235,0.5830258302583026,0.11926020408163265,568
2025-11-01,112,128,417,32,551,0.7568058076225045,0.2685851318944844,0.2857142857142857,0.47058823529411764,0.15415039397053787,551
2025-11-02,86,153,398,34,561,0.7094474153297683,0.21608040201005024,0.3953488372093023,0.5604395604395604,0.11884422110552764,561
2025-11-03,90,142,437,33,573,0.7626527050610821,0.20594965675057209,0.36666666666666664,0.5358490566037736,0.11327231121281466,573
2025-11-04,68,147,360,32,521,0.690978886756238,0.18888888888888888,0.47058823529411764,0.5951417004048583,0.10388888888888889,521
2025-11-05,91,150,415,39,573,0.7242582897033158,0.21927710843373494,0.42857142857142855,0.5357142857142857,0.12060240963855423,573
2025-11-06,67,157,404,42,570,0.7087719298245614,0.16584158415841585,0.6268656716417911,0.5902255639097744,0.09121287128712872,570
2025-11-07,67,146,384,39,540,0.7111111111111111,0.17447916666666666,0.582089552238806,0.5793650793650794,0.09596354166666667,540
2025-11-08,95,159,384,40,559,0.6869409660107334,0.24739583333333334,0.42105263157894735,0.5408163265306123,0.13606770833333334,559
2025-11-09,78,158,383,26,537,0.7132216014897579,0.20365535248041775,0.3333333333333333,0.6030534351145038,0.11201044386422977,537
2025-11-10,91,137,439,40,582,0.7542955326460481,0.2072892938496583,0.43956043956043955,0.5111940298507462,0.11400911161731207,582
2025-11-11,80,161,378,40,553,0.6835443037974683,0.21164021164021163,0.5,0.5729537366548043,0.11640211640211641,553
2025-11-12,22,41,107,8,109,0.981651376146789,0.205607476635514,0.36363636363636365,0.5774647887323944,0.11308411214953272,109
